,Title,Listed count,Author
422,East of Eden,5.0,"Steinbeck, John"
423,Sister Carrie,5.0,"Dreiser, Theodore"
424,Ironweed,5.0,"Kennedy, William"
425,Cat's Cradle,5.0,"Vonnegut, Kurt, Jr."
426,Persuasion,5.0, Jane Austen
427,Lost Illusions,5.0, Honoré de Balzac
428,A Fine Balance,5.0, Rohinton Mistry
429,The Secret Agent,5.0, Joseph Conrad
430,Murphy,5.0, Samuel Beckett
431,Blindness,5.0,José Saramago
432,Confessions of Zeno,5.0,Italo Svevo
433,Memoirs of Hadrian,5.0,Marguerite Yourcenar
434,Nine Stories,5.0,J. D. Salinger
435,Henderson The Rain King,5.0,Saul Bellow
436,Selected Stories of Alice Munro,5.0,Alice Munro
437,A Good Man Is Hard to Find,5.0,Flannery O'Connor
438,A Handful of Dust ,5.0,Evelyn Waugh
439,The Collected Stories of Eudora Welty,5.0,Eudora Welty
440,Our Mutual Friend,5.0,Charles Dickens
441,The Man Who Loved Children ,5.0,Christina Stead
442,The Snow Leopard,5.0,Peter Matthiessen
443,The Life of Samuel Johnson,5.0,James Boswell
444,"Jimmy Corrigan, the Smartest Kid on Earth",5.0,Chris Ware
445,The Poems of John Keats,5.0,John Keats
446,Prometheus Bound,5.0,Aeschylus
447,The Birds,5.0,Aristophanes
448,Man's Fate,5.0,Andre Malraux
449,Journey to the West,5.0,Wu Cheng'en
450,The Sorrows of Young Werther,5.0,Johann Wolfgang von Goethe
451,The Moonstone,5.0,Wilkie Collins
452,Germinal,5.0,Émile Zola
453,Death in Venice,5.0,Thomas Mann
454,The Power and the Glory,5.0,Graham Greene
455,Loving,5.0,Henry Green
456,Foundation,5.0,Isaac Asimov
457,The Talented Mr. Ripley,5.0,Patricia Highsmith
458,Labyrinths,5.0,Jorge Luis Borges
459,The Crying of Lot 49 ,5.0,Thomas Pynchon
460,The Shining,5.0,Stephen King
461,Schindler's List,5.0,Thomas Keneally
462,American Psycho,5.0,Bret Easton Ellis
463,Regeneration,5.0,Pat Barker
464,The God of Small Things,5.0,Arundhati Roy
465,The Savage Detectives,5.0,Roberto Bolaño
466,The Sense of an Ending,5.0,Julian Barnes
467,Bastard Out of Carolina,5.0,Dorothy Allison
468,The Killer Angels,5.0,Michael Shaara
469,The Adventures of Tom Sawyer,5.0,Mark Twain
470,Cold Mountain,5.0,Charles Frazier
471,The Mayor of Casterbridge,5.0,Thomas Hardy
472,Homage to Catalonia,5.0,George Orwell
473,Six Characters in Search of an Author,5.0,Luigi Pirandello
474,Pragmatism,5.0,Will James
475,Meditations,5.0,Marcus Aurelius
476,The Sonnets,5.0,William Shakespeare
477,Black Boy,5.0,Richard Wright
478,Three Sisters,5.0,Anton Chekhov
479,The Turn of the Screw,5.0,Henry James
480,The Wonderful Wizard of Oz,5.0,L. Frank Baum
481,Hiroshima,5.0,John Hersey
482,Quotations from Chairman Mao,5.0,Mao
483,Dialogue Concerning the Two Chief World Systems,5.0,Galileo
484,The Federalist Papers,5.0,Alexander Hamilton
485,The Rime of the Ancient Mariner,5.0,Samuel Taylor Coleridge
486,The Way We Live Now,5.0,Anthony Trollope
487,The Cherry Orchard,5.0,Anton Chekhov
488,Small Island,5.0,Andrea Levy
489,The Death of the Heart ,5.0,Elizabeth Bowen
490,The Alchemist,5.0,Paulo Coelho
491,A Heartbreaking Work of Staggering Genius,5.0,Dave Eggers
492,Bel Canto,5.0,Ann Patchett
493,The Sheltering Sky ,5.0,Paul Bowles
494,Billy Lynn's Long Halftime Walk: A Novel,5.0,Ben Fountain
495,The Plot Against America,5.0,Philip Roth
496,True History of the Kelly Gang,5.0,Peter Carey
497,JR,5.0,William Gaddis
498,Harry Potter And The Prisoner Of Azkaban,5.0,J. K Rowling
499,Harry Potter And The Chamber Of Secrets,5.0,J. K Rowling
500,The Confessions of Nat Turner,5.0,William Styron
501,Nickel And Dimed,5.0,Barbara Ehrenreich
502,What We Talk About When We Talk About Love,5.0,Raymond Carver
503,And Then There Were None,4.0,Agatha Christie
504,The Common Sense Book of Baby and Child Care,4.0,Benjamin Spock
505,Anne of Green Gables,4.0,Lucy Maud Montgomery
506,The Tale of Peter Rabbit,4.0,Beatrix Potter
507,The Thorn Birds,4.0,Colleen McCullough
508,The Great Gatsby,4.0,F. Scott Fitzgerald
509,The Fault in Our Stars,4.0,John Green
510,Things Fall Apart,4.0,Chinua Achebe
511,The Outsiders,4.0,S. E. Hinton
512,How to Win Friends and Influence People,4.0,Dale Carnegie
513,Roots,4.0,"Haley, Alex"
514,Tarzan of the Apes,4.0,"Burroughs, Edgar Rice"
515,Of Human Bondage,4.0,"Maugham, W. Somerset"
516,Them,4.0,"Oates, Joyce Carol"
517,The Code of the Woosters,4.0, P. G. Wodehouse
518,Barchester Towers,4.0, Anthony Trollope
519,The Betrothed,4.0, Alessandro Manzoni
520,The Forsyte Saga,4.0, John Galsworthy
521,Perfume,4.0, Patrick Süskind
522,The Razor's Edge,4.0, W. Somerset Maugham
523,The Return of the Native,4.0, Thomas Hardy
524,Arrowsmith,4.0, Sinclair Lewis
525,Suttree,4.0, Cormac McCarthy
526,The Famished Road,4.0, Ben Okri
527,Independent People,4.0,Halldor Laxness
528,The Book of Disquiet,4.0,Fernando Pessoa
529,Pedro Paramo,4.0,Juan Rulfo
530,The Unnamable,4.0,Samuel Beckett
531,Stories of Guy de Maupassant,4.0,Guy de Maupassant
532,The Princess of Cleves,4.0,Madame de La Fayette
533,The Sot-Weed Factor ,4.0,John Barth
534,In Our Time,4.0,Ernest Hemingway
535,Darkness at Noon,4.0,Arthur Koestler
536,Collected Poems of Dylan Thomas,4.0,Dylan Thomas
537,Parade's End,4.0,Ford Madox Ford
538,Cousin Bette,4.0,Honoré de Balzac
539,Black Lamb and Grey Falcon,4.0,Rebecca West
540,Jesus' Son,4.0,Denis Johnson
541,Cathedral,4.0,Raymond Carver
542,Songs of Innocence and Experience,4.0,William Blake
543,Moveable Feast,4.0,Ernest Hemingway
544,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,4.0,Maxine Hong Kingston
545,Breakfast at Tiffany's,4.0,Truman Capote
546,The Once and Future King,4.0,T. H. White
547,On Writing,4.0,Stephen King
