,Title,Listed count
615,Samuel Johnson,4.0
616,A Separate Peace,4.0
617,Profiles in Courage,4.0
618,Apology,4.0
619,A Game of Thrones,4.0
620,"Are You There God? It's Me, Margaret",4.0
621,The Looming Tower,4.0
622,The Power Broker,4.0
623,"Tinker, Tailor, Soldier, Spy",4.0
624,High Fidelity,4.0
625,Freakonomics,4.0
626,Cyrano de Bergerac,4.0
627,The Autobiography of Benjamin Franklin,4.0
628,Dreams from My Father,4.0
629,The Bridge of San Luis Rey,4.0
630,Deliverance ,4.0
631,Waiting,4.0
632,The Sellout,4.0
633,The Flamethrowers: A Novel,4.0
634,The Goldfinch,4.0
635,The Amber Spyglass,4.0
636,Fingersmith,4.0
637,The Sympathizer,4.0
638,Good-Bye to All That,4.0
639,Salvage the Bones: A Novel,4.0
640,The City in History,4.0
641,The Guns of August,4.0
642,Pilgrim at Tinker Creek,4.0
643,The Fortress of Solitude,4.0
644,The Man in the High Castle,4.0
645,Dog Soldiers ,4.0
646,House Made of Dawn,4.0
647,The Underground Railroad,4.0
648,"Sing, Unburied, Sing",4.0
649,The Faerie Queene,4.0
650,Narrative of the Life of Frederick Douglass,4.0
651,An Essay Concerning Human Understanding,4.0
652,A Dictionary of the English Language,4.0
653,Fun Home: A Family Tragicomic,4.0
654,Experience,4.0
655,Against Interpretation,4.0
656,To Kill a Mockingbird,3.0
657,The Horse Whisperer,3.0
658,Goodnight Moon,3.0
659,The Prophet,3.0
660,The Help,3.0
661,The Lovely Bones,3.0
662,Slaughterhouse Five,3.0
663,Invisible Man,3.0
664,Little House on the Prairie,3.0
665,Breathing Lessons,3.0
666,The Go-Between,3.0
667,Peter Pan,3.0
668,The Grapes Of Wrath,3.0
669,Gone With The Wind,3.0
670,The Bone People,3.0
671,Annie John,3.0
672,Justine,3.0
673,Jacques the Fatalist and His Master,3.0
674,Gypsy Ballads,3.0
675,The Devil to Pay in the Backlands,3.0
676,Zorba the Greek,3.0
677,Complete Poems of Giacomo Leopardi,3.0
678,Pippi Longstocking,3.0
679,Season of Migration to the North,3.0
680,Othello,3.0
681,The Death of Ivan Ilyich,3.0
682,Ramayana,3.0
683,Facundo,3.0
684,The Odes,3.0
685,Ferdydurke,3.0
686,The George Sand-Gustave Flaubert Letters,3.0
687,The Collected Stories of William Faulkner,3.0
688,Collected Poems of T.S. Eliot,3.0
689,The Posthumous Memoirs of Bras Cubas,3.0
690,"Carry On, Jeeves",3.0
691,Desert Solitaire,3.0
692,Poems of W. H. Auden,3.0
693,Oxford English Dictionary,3.0
694,The Principles of Psychology,3.0
695,Andersonville,3.0
696,Little Disturbances,3.0
697,Collected Stories,3.0
698,Don Juan: A Poem,3.0
699,Notes from the Underground,3.0
700,Phaedo,3.0
701,La Regenta,3.0
702,The Stories of Raymond Carver,3.0
703,The Nibelungenlied,3.0
704,A Supposedly Fun Thing I'll Never Do Again,3.0
705,Complete Poems,3.0
706,The Duino Elegies,3.0
707,Slouching Towards Bethlehem,3.0
708,Collected Essays of George Orwell,3.0
709,Birds of America,3.0
710,The Phantom Tollbooth,3.0
711,The Custom of the Country,3.0
712,Mythology,3.0
713,Howl and Other Poems,3.0
714,The Breakfast of Champions,3.0
715,Hopscotch,3.0
716,Bouvard et Pécuchet,3.0
717,The War of the End of the World,3.0
718,The Sleepwalkers,3.0
719,The Human Comedy,3.0
720,Discourse on Method,3.0
721,The Clouds,3.0
722,Maldoror (Les Chants de Maldoror),3.0
723,The Seven Pillars of Wisdom,3.0
724,The Lusiad,3.0
725,A Modest Proposal and Other Satirical Works,3.0
726,Eugene Onegin,3.0
727,Eugenie Grandet,3.0
728,A Hero of Our Time,3.0
729,The Last Chronicle of Barset,3.0
730,New Grub Street: A Novel,3.0
731,The Diary of a Nobody,3.0
732,Dom Casmurro,3.0
733,Riddle of the Sands,3.0
734,Way of All Flesh,3.0
735,The Notebooks of Malte Laurids Brigge,3.0
736,Kristin Lavransdatter,3.0
737,We,3.0
738,The Murder of Roger Ackroyd,3.0
739,Nadja,3.0
740,Some Prefer Nettles,3.0
741,Story of the Eye,3.0
742,The Radetzky March,3.0
743,Testament Of Youth,3.0
744,Miss Lonelyhearts ,3.0
745,The Postman Always Rings Twice,3.0
746,Goodbye to Berlin,3.0
747,The Glass Bead Game,3.0
748,Froth on the daydream,3.0
749,The Man with the Golden Arm,3.0
750,The Moon and the Bonfires,3.0
751,The Day of the Triffids,3.0
752,Casino Royale,3.0
753,Bonjour Tristesse,3.0
754,The Recognitions ,3.0
755,Voss,3.0
756,Franny and Zooey,3.0
757,The Death of Artemio Cruz,3.0
758,V,3.0
759,Sometimes a Great Notion,3.0
760,Pricksongs and Descants,3.0
761,Play It As It Lays ,3.0
762,Anniversaries,3.0
763,The Optimist's Daughter,3.0
764,The Siege of Krishnapur,3.0
765,Correction,3.0
766,The Hour of the Star,3.0
767,The Book of Laughter and Forgetting ,3.0
768,Life & Times of Michael K,3.0
769,Blood and Guts in High School,3.0
770,Nights At The Circus,3.0
771,The Wasp Factory: A Novel,3.0
772,World's End,3.0
773,London Fields,3.0
774,Wild Swans: Three Daughters of China,3.0
775,Memoirs of a Geisha,3.0
776,The Hours,3.0
777,The Feast of the Goat: A Novel,3.0
778,Snow,3.0
779,The Namesake,3.0
780,The Inheritance of Loss,3.0
781,Corelli's Mandolin,3.0
782,Snow Falling on Cedars,3.0
783,The Color of Water: A Black Man's Tribute to His White Mother,3.0
784,The Bean Trees,3.0
785,Truman,3.0
786,Jazz,3.0
787,Gimpel the Fool,3.0
788,The Road to Serfdom,3.0
789,The Open Society,3.0
790,The Origins of Totalitarianism,3.0
791,Mere Christianity,3.0
792,Orthodoxy,3.0
793, The Feynman Lectures on Physics,3.0
794,The Death and Life of Great American Cities,3.0
795,Selected Essays of T. S. Eliot,3.0
796,Battle Cry of Freedom,3.0
797,Henry James,3.0
798,Mourning Becomes Electra,3.0
799,Hedda Gabler,3.0
